smiles,name,n_models,is_known_antibiotic,best_selectivity,MW,LogP,TPSA,HBD,HBA,RotBonds,Rings,lipinski_violations,lipinski_pass
O=C1[C@H]2CCCC[C@H]2C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1,perospirone,1,False,0.9947,426.59,3.374,56.75,0,6,6,5,0,True
CCCCCCO[C@H](C)c1c(C)c2cc3nc(c4c5[nH]c(cc6nc(cc1[nH]2)C(C)=C6CC)c(C)c5C(=O)C4)[C@@H](CCC(=O)O)[C@@H]3C,HPPH,1,False,0.9947,636.84,9.421,120.96,3,5,11,6,2,False
NCCNS(=O)(=O)c1ccc(Cl)c2ccncc12,CKI-7,1,False,0.9944,285.76,1.125,85.08,2,4,4,2,0,True
COCCNCc1ccc(-c2cc3nccc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccc(F)cc6)CC5)cc4F)c3s2)nc1,sitravatinib,1,False,0.9943,629.69,6.522,114.47,3,8,12,6,2,False
Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[P@@](=O)(S)O[C@@H]3[C@H](O)[C@@H](CO[P@@](=O)(S)O[C@H]2[C@H]1O)O[C@H]3n1cnc2c(N)ncnc21,MIW-815,1,False,0.9942,690.55,0.24,269.22,6,18,2,7,3,False
CC(=O)[O][Pt]([NH2])([Cl])([Cl])([NH]C1CCCCC1)[O]C(C)=O,satraplatin,1,False,0.9941,498.26,2.186,90.65,2,6,4,1,0,True
Oc1cccc2cccnc12,oxyquinoline,1,False,0.994,145.16,1.94,33.12,1,2,0,2,0,True
CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1,VE-822,1,False,0.9939,463.56,3.949,124.0,2,8,7,4,0,True
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CC[Si](C)(C)C,karenitecin,1,True,0.9939,448.6,3.96,81.42,1,5,4,5,0,True
CCN1C[C@]2(COC(=O)c3ccccc3N3C(=O)C[C@H](C)C3=O)CC[C@H](OC)[C@@]34[C@@H]5C[C@H]6[C@H](OC)[C@@H]5[C@](O)(C[C@@H]6OC)[C@@](O)([C@@H](OC)[C@H]23)[C@@H]14,methyllycaconitine,1,False,0.9937,682.81,2.035,144.3,2,11,9,8,2,False
COC(=O)Nc1c(N)nc(-c2nn(Cc3ccccc3F)c3ncc(F)cc23)nc1N,vericiguat,1,False,0.9937,426.39,2.557,146.86,3,8,4,4,0,True
CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2sccc2C)cc1,L-161982,1,False,0.9935,654.74,6.599,103.06,1,6,10,5,2,False
CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(N=C(C)C(N)=N2)[C@]2(CC[C@H](OC)CC2)C3)c1,lanabecestat,1,False,0.9932,412.54,4.236,72.86,1,5,2,5,0,True
CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,MG-132,1,False,0.9931,475.63,3.588,113.6,3,5,14,1,0,True
CCCCOCCOc1ccc(-c2ccc3c(c2)/C=C(/C(=O)Nc2ccc([S@@](=O)Cc4cncn4CCC)cc2)CCCN3CC(C)C)cc1,cenicriviroc,1,False,0.9931,696.96,8.742,85.69,1,6,17,5,2,False
