smiles,name,moa,clinical_phase,rf_p_path,rf_p_gut,rf_S,rf_rank,dmpnn_p_path,dmpnn_p_gut,dmpnn_S,dmpnn_rank,chemeleon_frozen_p_path,chemeleon_frozen_p_gut,chemeleon_frozen_S,chemeleon_frozen_rank,molformer_p_path,molformer_p_gut,molformer_S,molformer_rank,dmpnn_rdkit_p_path,dmpnn_rdkit_p_gut,dmpnn_rdkit_S,dmpnn_rdkit_rank,MW,LogP,TPSA,n_rings,n_aromatic_rings,n_rotatable,n_HBA,n_HBD,formal_charge,n_heavy_atoms,fraction_sp3,n_heteroatoms,has_phosphate,has_sulfate
CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,methantheline,acetylcholine receptor antagonist,Launched,0.1646007524600918,0.0911568757491521,0.1495962621198703,3911,3e-06,0.007608,3e-06,6468,0.178948,0.102938,0.160528,1940,1.39800795e-05,0.0032082743,1.3935227570228191e-05,6632,0.0775842566,0.0517861077199999,0.0735664699303362,4350,340.4430000000001,3.953800000000003,35.53,3,2,6,3,0,1,25,0.38095238095238093,4,0,0
CCN(CC)CCC[C@@H](C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,mepacrine,cytokine production inhibitor|NFkB pathway inhibitor|TP53 activator,Launched,0.1651497366495278,0.0943384687700644,0.1495697633762319,3912,2.3e-05,0.068407,2.1e-05,6118,0.158498,0.075155,0.146586,2132,0.00041722946,0.0071440125,0.0004142487675223,5544,0.0644453052,0.265952802,0.0473058957063148,5322,399.9660000000002,5.972400000000006,37.39,3,3,9,4,1,0,28,0.43478260869565216,5,0,0
CO[C@@H]1[C@H](OC(=O)NC(=O)CCl)CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1CC=C(C)C,TNP-470,methionine aminopeptidase inhibitor,Phase 2,0.2123287965955541,0.2957815856300482,0.1495258484636011,3913,0.009495,0.123595,0.008321,2707,0.015901,0.363116,0.010127,5989,0.0101878615,0.024909334,0.0099340886551507,3174,0.021780630886,0.05008947632,0.020689650491001,6244,401.88700000000017,2.554400000000001,89.69,3,0,6,6,1,0,27,0.7894736842105263,8,0,0
CO[C@H]1[C@@H]([C@@]2(C)O[C@@H]2CC=C(C)C)[C@]2(CC[C@H]1OC(=O)NC(=O)CCl)CO2,AGM-1470,cell cycle inhibitor,Phase 2,0.2123287965955541,0.2957815856300482,0.1495258484636011,3914,0.004324,0.106747,0.003862,3204,0.016796,0.382961,0.010364,5971,0.034514625,0.0015592403,0.0344608084057606,2181,0.02198659998,0.05008090588,0.0208854911357804,6234,401.88700000000017,2.554400000000001,89.69,3,0,6,6,1,0,27,0.7894736842105263,8,0,0
Nc1nc(-n2cccn2)nc(-n2cccn2)c1Br,taminadenant,adenosine receptor antagonist,Phase 1/Phase 2,0.2103493105192136,0.2893014378091927,0.1494949525438327,3915,7.7e-05,0.00689,7.6e-05,5644,0.054908,0.020165,0.053801,4096,0.00014424378,0.005297184,0.0001434796941564,6101,0.1113589402,0.0749959076,0.1030074754103268,3510,306.12699999999995,1.1926999999999999,87.44000000000001,3,3,2,5,1,0,18,0.0,8,0,0
CC(C)(C)c1cc(/C=C(\C#N)C(N)=S)cc(C(C)(C)C)c1O,tyrphostin-AG-879,tyrosine kinase inhibitor,Preclinical,0.2136485386733116,0.3004365168003249,0.1494607158948223,3916,8e-06,0.006284,8e-06,6340,0.268782,0.006477,0.267041,967,0.009535694,0.06824865,0.0088848957576869,3268,0.2546140099999999,0.2447550566,0.192295943571297,1737,316.47,4.180280000000004,70.04,1,1,2,3,2,0,22,0.4444444444444444,4,0,0
COc1cc([C@H]2C(C#N)=C(N)Oc3c2ccc(N)c3N)cc(Br)c1OC,crolibulin,tubulin polymerization inhibitor,Phase 1/Phase 2,0.2006669749333503,0.2552631122231069,0.1494440983914671,3917,0.008879,0.342027,0.005842,2921,0.156434,0.371459,0.098325,2930,0.011895507,0.9401834,0.0007115487840161,5208,0.4198347979999999,0.23405559,0.3215701166515791,482,417.2630000000001,2.8488800000000003,129.54,3,2,3,7,3,0,26,0.16666666666666666,8,0,0
Nc1nc(N)nc(NC2CC2)n1,cyromazine,,Launched,0.2009009646917764,0.256142908986706,0.1494416071773893,3918,0.042179,0.042617,0.040382,1773,0.065614,0.072073,0.060885,3888,0.0021466233,0.0030720178,0.0021400288350125,4422,0.1534242226,0.0249067782999999,0.1496029195018519,2459,166.188,-0.3897000000000006,102.74,2,1,2,6,3,0,12,0.5,6,0,0
O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1,CHF5074,gamma secretase modulator,Phase 2,0.1923731089653366,0.2232235352398499,0.1494309034970133,3919,0.003512,0.025247,0.003423,3282,0.27949,0.854486,0.04067,4557,0.056540247,0.31782588,0.0385702932418076,2095,0.400453832,0.317050716,0.2734896578394563,811,325.1660000000001,4.915700000000002,37.3,3,2,3,1,1,0,21,0.1875,5,0,0
CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,ganetespib,HSP inhibitor,Phase 3,0.2138156653067862,0.3011956801696507,0.1494153105637823,3920,0.096991,0.081173,0.089118,1337,0.079733,0.155747,0.067315,3682,0.0030630718,0.01518261,0.0030165663754586,4160,0.1769606124,0.340686898,0.1166724502932636,3173,364.4050000000001,3.253900000000002,96.07000000000001,4,4,3,4,3,0,27,0.2,7,0,0
