smiles,name,moa,clinical_phase,our_rf_p_pathogen,our_rf_p_gut,our_rf_S,our_rf_rank,our_dmpnn_p_pathogen,our_dmpnn_p_gut,our_dmpnn_S,our_dmpnn_rank,our_chemeleon_frozen_p_pathogen,our_chemeleon_frozen_p_gut,our_chemeleon_frozen_S,our_chemeleon_frozen_rank,our_molformer_p_pathogen,our_molformer_p_gut,our_molformer_S,our_molformer_rank,stokes_dmpnn_score,stokes_dmpnn_rank,stokes_inhibition,stokes_validated_active,stokes_rf_score,stokes_rf_rank,name_lower
C[C@H](NC[C@H](O)CP(=O)(O)Cc1ccccc1)c1ccc(Cl)c(Cl)c1,CGP-55845,GABA receptor antagonist,Preclinical,0.2339371853370846,0.1143318215317353,0.2071907208134885,1724,0.011895,0.033013,0.011502,2503,0.171106,0.069598,0.159197,1957,0.032103967,0.0097148055,0.0317920832048165,2233,0.0324181808769935,1105.0,,False,,,cgp-55845
Cc1nc(C)c(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)cc2)nc1C(N)=O,AZD7687,diacylglycerol O acyltransferase inhibitor,Phase 1,0.2370883023090598,0.1261546769521871,0.2071785041221178,1725,4e-06,0.019359,4e-06,6452,0.223544,0.16886,0.185796,1633,0.21005492,0.008088843,0.2083558187307424,981,0.0124702938000609,2223.0,,False,,,azd7687
CC(C)(O)c1ccn2c(-c3ccc(F)c(-c4ccc(F)cc4C#N)c3)cnc2c1F,TP-003,GABA receptor inverse agonist,Preclinical,0.2845945602767869,0.2720502557070032,0.2071705373806649,1726,0.94158,0.291338,0.667262,384,0.366667,0.30158,0.256087,1040,0.097436145,0.50629324,0.0481048834548402,1918,0.0399183055851608,893.0,,False,,,tp-003
O=c1cccc2n1C[C@@H]1CNC[C@H]2C1,cytisine,acetylcholine receptor agonist,Launched,0.3246203707900722,0.3619659684021193,0.2071188439139887,1727,0.00384,0.019382,0.003766,3220,0.164327,0.001457,0.164087,1887,0.099916145,0.0027953137,0.0996368480310303,1432,,,,,,,cytisine
CCOC(=O)[C@H](N)/C=C(\C)CP(=O)(O)O,CGP-39551,NMDA receptor antagonist,Preclinical,0.2519447155228237,0.1779690708219444,0.2071063486027276,1728,2e-06,0.001031,2e-06,6521,0.107308,0.000231,0.107283,2770,0.000612004,0.0006408656,0.0006116117876893,5296,,,,,,,cgp-39551
C[N+](C)(C)CCOP(=O)(O)OC[C@H](O)CO,choline-alfoscerate,acetylcholine precursor,Launched,0.2368474350300045,0.1255947215534689,0.2071006473767578,1729,0.000116,0.001405,0.000116,5437,0.001026,0.000339,0.001025,6594,0.0018828193,0.00060628925,0.0018816777668987,4521,0.00118784623512877,4329.0,,False,,,choline-alfoscerate
CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,GSK1070916,Aurora kinase inhibitor,Phase 1,0.2887295596376067,0.2827176183467402,0.2071006261905594,1730,0.119724,0.118973,0.10548,1255,0.576429,0.07857,0.531139,217,0.039019175,0.004040122,0.0388615327726606,2088,0.0144299877705634,2034.0,,False,,,gsk1070916
CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CCOCC3)ccn2)ccn1,LY3200882,TGF beta receptor inhibitor,Phase 1,0.3389751343375341,0.3890947465647931,0.2070816903507045,1731,0.026194,0.149468,0.022279,2112,0.190988,0.125236,0.167069,1843,0.39379394,0.3662373,0.249571910658038,862,,,,,,,ly3200882
CCO[C@@H](Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)O,tesaglitazar,insulin sensitizer|PPAR receptor agonist,Phase 3,0.2441719547959791,0.1521067372357189,0.2070317554274953,1732,0.042563,0.005098,0.042346,1736,0.045356,0.026336,0.044162,4419,0.0070267115,0.0021195607,0.0070118179584543,3462,0.00173068770246374,4177.0,,False,,,tesaglitazar
N=C(N)c1cc2ccc(OC(=O)c3cccs3)cc2s1,BCX-1470,complement inhibitor|serine protease inhibitor,Phase 1,0.2481784999341963,0.166020648352553,0.206975744467957,1733,0.002171,0.015652,0.002137,3630,0.008297,0.235356,0.006344,6196,0.23603685,0.0030281085,0.2353221048082017,898,0.00421481301241328,3455.0,,False,,,bcx-1470
