2026-03-21 22:48:47 | INFO  | phase3d |     Epoch 9/20: train_loss=0.2585, 144s
2026-03-21 22:51:11 | INFO  | phase3d |     Epoch 10/20: train_loss=0.2450, 144s
2026-03-21 22:53:35 | INFO  | phase3d |     Epoch 11/20: train_loss=0.2356, 144s
2026-03-21 22:55:59 | INFO  | phase3d |     Epoch 12/20: train_loss=0.2234, 144s
2026-03-21 22:58:24 | INFO  | phase3d |     Epoch 13/20: train_loss=0.2164, 144s
2026-03-21 23:00:48 | INFO  | phase3d |     Epoch 14/20: train_loss=0.2078, 144s
2026-03-21 23:03:12 | INFO  | phase3d |     Epoch 15/20: train_loss=0.2006, 144s
2026-03-21 23:05:36 | INFO  | phase3d |     Epoch 16/20: train_loss=0.1988, 144s
2026-03-21 23:08:01 | INFO  | phase3d |     Epoch 17/20: train_loss=0.1960, 145s
2026-03-21 23:10:25 | INFO  | phase3d |     Epoch 18/20: train_loss=0.1887, 144s
2026-03-21 23:12:49 | INFO  | phase3d |     Epoch 19/20: train_loss=0.1892, 144s
2026-03-21 23:15:13 | INFO  | phase3d |     Epoch 20/20: train_loss=0.1849, 144s
2026-03-21 23:15:27 | INFO  | phase3d |     Screening: /scratch/vishakha.agrawal/antibiotic-selectivity/outputs/runs/run_20260315_034033/results/screening/molformer_ranked_paeruginosa.csv (6739 compounds)
2026-03-21 23:15:27 | INFO  | phase3d | 
  >>> Model 4/7: molformer_mtb <<<
2026-03-21 23:15:27 | INFO  | phase3d | 
  Training molformer_mtb with 5-fold scaffold CV...
2026-03-21 23:15:27 | INFO  | phase3d |     [10_train_molformer.py:molformer_mtb:fold_0] Starting fold 0/5...
2026-03-21 23:15:27 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 23:15:27 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 23:15:31 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 23:15:31 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 23:15:31 | INFO  | phase3d |     Device: cuda
2026-03-21 23:15:36 | INFO  | phase3d |     [10_train_molformer.py:molformer_mtb:fold_0] SKIP (cached model), ROC-AUC=0.7631, PR-AUC=0.7026
2026-03-21 23:15:36 | INFO  | phase3d |     [10_train_molformer.py:molformer_mtb:fold_1] Starting fold 1/5...
2026-03-21 23:15:36 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 23:15:36 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 23:15:40 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 23:15:40 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 23:15:40 | INFO  | phase3d |     Device: cuda
2026-03-21 23:15:45 | INFO  | phase3d |     [10_train_molformer.py:molformer_mtb:fold_1] SKIP (cached model), ROC-AUC=0.7305, PR-AUC=0.6700
2026-03-21 23:15:45 | INFO  | phase3d |     [10_train_molformer.py:molformer_mtb:fold_2] Starting fold 2/5...
2026-03-21 23:15:45 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 23:15:45 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 23:15:49 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 23:15:49 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 23:15:49 | INFO  | phase3d |     Device: cuda
2026-03-21 23:15:54 | INFO  | phase3d |     [10_train_molformer.py:molformer_mtb:fold_2] SKIP (cached model), ROC-AUC=0.7811, PR-AUC=0.7675
2026-03-21 23:15:54 | INFO  | phase3d |     [10_train_molformer.py:molformer_mtb:fold_3] Starting fold 3/5...
2026-03-21 23:15:54 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 23:15:54 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 23:15:58 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 23:15:58 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 23:15:58 | INFO  | phase3d |     Device: cuda
