smiles,median_value_nM,activity_label,molecule_chembl_id,n_measurements,source_type
Brc1cccc(COc2ccc3c(c2)CCc2nccn2-3)c1,282456.53278111765,0,CHEMBL2314954,1,MIC
Brc1cccc(CSc2cc3ccccc3[n+](CCCCCC3CCCCC3)c2)c1,771.6857894914247,1,CHEMBL2441871,2,MIC
Brc1cccc2[nH]c3ccccc3c12,65310.38458974983,0,CHEMBL5084185,23,MIC
Brc1cccc2c1CCC(Cn1ccnc1)/C2=N/OCc1ccccc1,3820.778133232827,1,CHEMBL476214,1,MIC
Brc1cccc2c1CCC(Cn1cncn1)/C2=N/OCc1ccccc1,30482.28659327804,0,CHEMBL514205,1,MIC
Brc1cccc2c1[nH]c1ccccc12,65310.38458974983,0,CHEMBL5085077,22,MIC
Brc1cccc2c3c(ccc12)OCc1[se]nnc1-3,136652.8324258256,0,CHEMBL457784,1,MIC
Brc1ccccc1-c1cc(-c2ccc(-n3cccc3)cc2)on1,137354.6658351758,0,CHEMBL3745900,1,MIC
Brc1ccccc1-c1nnc(-c2ccc(-n3cccc3)cc2)o1,85612.59772718111,0,CHEMBL2281597,1,MIC
Brc1ccccc1-n1cc(COc2ccc3c(c2)CCC3)nn1,243870.9312754588,0,CHEMBL4764281,1,MIC
Brc1ccccc1COc1ccc2c(c1)CCc1nccn1-2,282456.53278111765,0,CHEMBL2314953,1,MIC
Brc1ccccc1CSc1cc2ccccc2[n+](CCCCCC2CCCCC2)c1,1034.3873348502075,1,CHEMBL2441870,2,MIC
C#CC#CC#C/C=C/C(=O)Nc1ccc(C(=O)O)cc1,2.851079635539268,1,CHEMBL525593,4,MIC
C#CC#CC#C/C=C/C=C/C(C)O,4703.857897171676,1,CHEMBL147602,3,MIC
C#CC#CC#CC#C/C=C/C(O)CCCCC(=O)O,393.5546851704791,1,CHEMBL148000,3,MIC
C#CC#CC#CC#C/C=C/C=C/C(C)O,1030.539178674354,1,CHEMBL358752,3,MIC
C#CC#CC#CC#C/C=C/C=C/[C@@H](C)O,1030.539178674354,1,CHEMBL2093005,3,MIC
C#CC#CC#CC#C/C=C/C=C/[C@H](C)O,1030.539178674354,1,CHEMBL1788253,3,MIC
C#CC#CC#CC#CC(O)/C=C/C=C/C,1030.539178674354,1,CHEMBL147686,3,MIC
C#CC#CC#CC#CC1(O)CCCCC1,7649.59490407141,1,CHEMBL440351,3,MIC
C#CCC(N)C(=O)NC(CC#C)C(=O)O,38810.51591225362,0,CHEMBL48272,1,MIC
C#CCC(N)C(=O)N[C@@H](C)C(=O)O,167741.5229354779,0,CHEMBL45920,1,MIC
C#CCC(NC(=O)[C@H](C)N)C(=O)O,335483.0458709558,0,CHEMBL45655,1,MIC
C#CCCC/C=C/CCCCc1cccc(O)c1,33035.045410888735,0,CHEMBL4566982,3,MIC
C#CCCC1(CCOc2ccc(/C=C/c3cc(OC)c(CC=C(C)C)c(O)c3C(=O)O)c(F)c2)N=N1,16253.355674862523,0,CHEMBL4750594,1,MIC
C#CCCCCCCCCCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1,27857.96567624033,0,CHEMBL3581011,2,MIC
C#CCCCCCc1cn(CCOc2ccc(-c3nc4ccc(N5CCN(C)CC5)cc4[nH]3)cc2)nn1,32174.36519231532,0,CHEMBL4091028,2,MIC
C#CCCCCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1,5949.267506588098,1,CHEMBL3581010,4,MIC
C#CCCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,17849.307160150023,0,CHEMBL2063403,2,MIC
C#CCCCOC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,1644.103240454005,1,CHEMBL3963152,1,MIC
C#CCCCOC(=O)[C@H]1O[C@@H](n2ccc(N)nc2=O)C=C[C@@H]1NC(=O)C[C@@H](N)CCN(C)C(=N)N,131080.50562761995,0,CHEMBL5276161,3,MIC
C#CCCCn1c2ccccc2c2ccc3c(c21)C(=O)C1OC1C3=O,3038.5421446901805,1,CHEMBL4454245,1,MIC
